eatery_adddress eatery_cost eatery_cuisine eatery_id eatery_name eatery_F_M_Station  eatery_S_M_Station  eatery_highlights eatery_buffet_price eatery_buffet_details eatery_photos eatery_should_order eatery_popular_reviews eatery_trending eatery_opening_hours eatery_coordinates eatery_rating  eatery_wishlists eatery_title eatery_url converted_epoch eatery_id review_likes review_summary review_text review_time review_url scraped_epoch user_followers user_id user_name user_reviews user_url
     distance name distance name          rating votes              
 Costfor2:Rs.1500 "North Indian, Italian, Continental" 304296 "My Bar Grill" "1.9 km" "Green Park Metro Station" "2.5 km" "Hauz Khas Metro Station" "[u'No Home Delivery', u'Dine-In Available', u'Serves Non Veg', u'Serves Alcohol', u'Air Conditioned', u'Outdoor Seating', u'Bar', u'Live Music', u'Smoking Area']"   True  46 "[u""What's Your Poison?""]" "11 AM to 12:30 AM" 28.5543890000,77.1943580000 3.8 "490 votes" "Very Good" 258 https://www.zomato.com/ncr/my-bar-grill-hauz-khas-village-delhi  304296
                      1409570402 540456660d0cee7038de446e 5708601 2806821 0 "Himanshu Dhupar" https://www.zomato.com/users/himanshu-dhupar-5708601  304296 "2014-09-01 10:48:30" 1 Poor https://www.zomato.com/review/DNLaDn  1409548710.0
                      1409570402 540456660d0cee7038de446f 192924 2772591 5 "Varun Kohli" https://www.zomato.com/khaanaa "Not a big fan of My Bar chain. But this one is definitely better than the rest. Better service, better food and liquor they serve is not much diluted. The live DJ makes it stand out from the others. Extra points for the amount of crowd it attracts ;)" 304296 "2014-08-31 09:29:44" 13 Good https://www.zomato.com/review/XnnkRd  1409457584.0
                      1409570402 540456660d0cee7038de4470 5576161 2767211 11 "Nehal Kaur" https://www.zomato.com/users/nehal-kaur-5576161 "The only reason i go here is the cheap alcohol...good deals!!! what i dunt like is the fact dat they dilute there drinks a lil too much which kills the whole purpose...m a regular at the hkv my bar...but hv now ltd. my visits there... the food isn't great...the chicken wings are dry nd tasteless...the same goes 4 the veg starters...Hummus and pita bread was pretty bad...the only thing i liked was the mushrooms dish in starters...service is veeryyy slow!!!a lot of room for improvement!!" 304296 "2014-08-31 00:52:18" 17 Average https://www.zomato.com/review/KeeMYq  1409426538.0
                      1409570402 540456660d0cee7038de4471 340783 2675791 32 "Jyotsna Thakur" https://www.zomato.com/users/jyotsna-thakur-340783 "Again a bitter experience in hauz khas.. My bar chain has been very famous in quite a some time.. So we decided to visit there.. It is on the 4th floor without any lift.. And u have to go thru those stinky n dirty stare case stained with those paan stains or whatever.. Anyways I don't blame them for this.. People who does that should ashamed of it tho.. Anyways moving on.. We entered this place and it was packed with people @ 5pm (I wonder what happens afterwards). It's famous for its cheap liquor.. We decided to have some beers n vodka n leave.. We sat on a table and guess what nobody entertained us for good 15 minutes.. Then one of the waiter came and gave us the menu.. We decided to have some beer.. But hold on.. They didn't have enuf options there.. Then we decided to have some vodka.. But guess what, the guy who was supposed to take our order disappeared and nobody cared again.. And then we decided to leave the without having anything..I would I like to...read more" 304296 "2014-08-27 18:09:26" 22  https://www.zomato.com/review/XnPnvy  1409143166.0
                      1409570402 540456660d0cee7038de4472 1092110 2674211 22 "Shraiyaa Aggarwal" https://www.zomato.com/users/shraiyaa-aggarwal-1092110 "Good crowd changes it all" 304296 "2014-08-27 16:47:21" 3 Good https://www.zomato.com/review/KeNPzE  1409138241.0
                      1409570402 540456660d0cee7038de4473 1666160 2663621 10 "Hardik Panday" https://www.zomato.com/users/hardik-panday-1666160  304296 "2014-08-27 08:28:37" 3  https://www.zomato.com/review/DDgGOl 1 1409108317.0
                      1409570402 540456660d0cee7038de4474 1634733 2429871 7 "Prayas Thakur" https://www.zomato.com/users/prayas-thakur-1634733 "Not very found of this place just because of staff been too lazy, u have to call them again n again for getting ur order..But ambience is quite decent and food is very reasonably priced n quality of food is also good" 304296 "2014-08-18 23:46:01" 6 Good https://www.zomato.com/review/oQZZnZ 1 1408385761.0
                      1409570402 540456660d0cee7038de4475 3774171 2409041 1 "Nikhil Gupta" https://www.zomato.com/users/nikhil-gupta-3774171 "I went to MBGrill on friday nyt, 8 aug...we were 2 couples..went there to enjoy the eve nd hav some drinks...to b very frank...if u want to enjoy cheap drinks in locality like HKV....it is the right place dude....but on the other hand, the service and quality of snacks n food is not upto the mark...music was vry loud which sumtimes spoils ur mood....live and soft music wud b a better option....and u must improve ur food quality..we asked tandoori chiken which was served as cold as ice....air conditioner is also not very effective....also we hav an argument at time of billing bcoz they refused to give us 15% disc.....despite we produced citibank cr card....so dont make wrong committments..but after argument with manager over their....they agteedbto give us 15 % disc on food..Nikhil Gupta" 304296 "2014-08-18 12:36:31" 1 Average https://www.zomato.com/review/ZPqeAR  1408345591.0
                      1409570402 540456660d0cee7038de4476 904696 2408201 23 "Aakanksha Agrawal" https://www.zomato.com/users/aakanksha-agrawal-904696 "My Bar Grill is indeed a wonderland for drink lovers. Its reasonably priced alcohols and food menu is a paradise. My usual favourites are Chicken Tikka, Chilly Chicken and Honey chilli potato. The happy hours very will quench the alcohol thirst, however the long island iced tea wasnt as strong as one would like. The cosmopolitan was a delight. The ambiance at My bar is often peppy and vivacious. Don't forget to visit this place on EDM, Karaoke and crucial sports' finals Nights." 304296 "2014-08-18 12:06:31" 11 Good https://www.zomato.com/review/rwBmrK 2 1408343791.0
                      1409570402 540456660d0cee7038de4477 1039868 2404461 2 "Sonal Sharma" https://www.zomato.com/sonal1786 "I booked this place but entry was very weird. It does not give at all a good look, we choose better restaurant Raas as entry was decent so is the ambience. Weirdly some cheap bar entry, I hope every decent couple should think before going.." 304296 "2014-08-18 08:56:48" 8 Poor https://www.zomato.com/review/pvaRwY  1408332408.0
                      1409570402 540456660d0cee7038de4478 8166 2324291 864 Shanty https://www.zomato.com/shanty  304296 "2014-08-15 22:52:44" 123 Good https://www.zomato.com/review/XByqOm 1 1408123364.0
                      1409570402 540456660d0cee7038de4479 1216879 2306431 0 Arti https://www.zomato.com/users/arti-1216879 "Place for youngsters n teens!! Ac didnt work. Ambience more of a inhouse organized party" 304296 "2014-08-15 12:02:29" 2 Average https://www.zomato.com/review/PKpxrG  1408084349.0
                      1409570402 540456660d0cee7038de447a 2235112 2272931 65 "Ayush Agarwal" https://www.zomato.com/awwdii "The best place to hang out with your college/office buddies. The ambience is good and the music played is generally really good.A lot of dishes mentioned on the menu are never available but whatever is available is generally very good. I have no complaints with the food .Alcohol is super cheap and that is the USP of this place :). Come here , have a great time without digging deep into your pockets." 304296 "2014-08-13 23:36:52" 23 Excellent https://www.zomato.com/review/PKxArE 2 1407953212.0
                      1409570402 540456660d0cee7038de447b 584777 2043311 14 "Apurva Jain" https://www.zomato.com/users/apurva-jain-584777 "Ambiance is not amazing , but is good enough to go and chill with your friends .The best part about the place is that it saves your pocket from getting empty while buying alcohol . Prices of all drinks are good . Should definitely try this place ." 304296 "2014-08-08 19:32:49" 3 "Very Good" https://www.zomato.com/review/KPolqM 1 1407506569.0
                      1409570403 540456660d0cee7038de447c 419333 2007661 13 "Karan Anand" https://www.zomato.com/users/karan-anand-419333  304296 "2014-08-07 14:52:14" 1 Poor https://www.zomato.com/review/pvneKG 2 1407403334.0
                      1409570403 540456660d0cee7038de447d 1062015 1975831 9 "Pawan Kumar" https://www.zomato.com/users/pawan-kumar-1062015 "Awesome Interior and sitting space, Takilla with Chilly Chicken is one of the favourite one of mine whenever I went there. DJ is great, last but not the least Affordable Price.." 304296 "2014-08-06 11:49:12" 2 "Very Good" https://www.zomato.com/review/PKMBrx 1 1407305952.0
